28	10
28	10
28	10
28	10
36	8
36	8
2	2
2	2
2	2
2	2
2	2
2	2
165	48
165	48
165	48
165	48
136	16
136	16
3	3
3	3
3	3
3	3
3	3
3	3
837	253
837	253
837	253
837	253
528	32
528	32
0	0
0	0
0	0
0	0
0	0
0	0
3213	1031
3213	1031
3213	1031
3213	1031
2080	64
2080	64
2	3
2	3
2	3
2	3
2	3
2	3
14732	4032
14732	4032
14732	4032
14732	4032
8256	128
8256	128
3	4
3	4
3	4
3	4
3	4
3	4
57375	15834
57375	15834
57375	15834
57375	15834
32896	256
32896	256
1	2
1	2
1	2
1	2
1	2
1	2
250390	63770
250390	63770
250390	63770
250390	63770
131328	512
131328	512
0	3
0	3
0	3
0	3
0	3
0	3
993333	266930
993333	266930
993333	266930
993333	266930
524800	1024
524800	1024
0	0
0	0
0	0
0	0
0	0
0	0
4073530	1071901
4073530	1071901
4073530	1071901
4073530	1071901
2098176	2048
2098176	2048
1	1
1	1
1	1
1	1
1	1
1	1
16609320	4157470
16609320	4157470
16609320	4157470
16609320	4157470
8390656	4096
8390656	4096
3	3
3	3
3	3
3	3
3	3
3	3
